Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-06-15,96.56640576520682,97.83032218222492,95.96142119690901,97.17524719238281,2634802,0,0
TataPower,2010-06-16,97.40259380530695,97.40259380530695,94.20812152727642,96.82073211669922,1811884,0,0
TataPower,2010-06-17,96.82843524668733,98.33897120041813,96.33519603257916,97.19065094,4108631,0,0
TataPower,2010-06-18,98.03069824,99.02487821,97.50663460946896,97.87656403,4187500,0,0
TataPower,2010-06-21,98.42375753170047,101.72613080079752,98.42375753170047,101.41014862060547,3225186,0,0
TataPower,2010-06-22,100.9592957353498,102.50065009884415,100.9592957353498,101.85713958740234,5159255,0,0
TataPower,2010-06-23,101.80703180286005,102.11530629722468,100.57393991838491,101.81088256835938,2365201,0,0
TataPower,2010-06-24,101.80703128053072,102.19236982677197,100.53540737565294,101.64904022216797,6082441,0,0
TataPower,2010-06-25,101.49876427273989,102.11531330377309,100.18860824451598,100.95158386230469,3950852,0,0
TataPower,2010-06-28,100.95158901157214,104.81270695154244,98.92469691625476,102.78195190429688,4677989,0,0
TataPower,2010-06-29,103.68364613764238,104.81270039525239,99.94198747825833,100.41595458984375,5646645,0,0
TataPower,2010-06-30,100.03448864423244,101.38318307414778,99.49501574665436,100.83214569091797,6851173,0,0
TataPower,2010-07-01,100.95929148681559,101.49876427273989,99.29461519600972,100.95158386230469,5701173,0,0
TataPower,2010-07-02,100.40054868683912,101.63749144748003,100.40054868683912,100.9978256225586,3757891,0,0
TataPower,2010-07-05,100.18860049979232,101.69142874566629,100.03446020745737,100.89762878417969,1490895,0,0
TataPower,2010-07-06,100.65101606180333,101.49491258985515,100.4467853395535,101.28297424316406,2073538,0,0
TataPower,2010-07-07,101.11342086626665,101.88024721317527,100.04987840829475,100.5700912475586,2926258,0,0
TataPower,2010-07-08,100.6972521589503,102.11530877444494,100.35429639483841,100.67798614501953,5286683,0,0
TataPower,2010-07-09,101.59125856515637,101.93806514059614,100.67029179675086,101.41400146484375,3029117,0,0
TataPower,2010-07-12,101.50647718863118,102.09219575215346,100.74350153106968,101.45252990722656,3770160,0,0
TataPower,2010-07-13,100.95929493177694,102.63167281117522,100.95929493177694,102.15769958496094,3401711,0,0
TataPower,2010-07-14,102.57772001437154,103.71832655988842,101.98814463422276,102.24632263183594,2789763,0,0
TataPower,2010-07-15,102.46213707405761,103.73376745509043,102.46213707405761,103.42549896240234,4033306,0,0
TataPower,2010-07-16,103.73374318956894,103.73374318956894,101.71455883495568,102.87828826904297,3336510,0,0
TataPower,2010-07-19,103.1942718,103.1942718,102.19237810487688,102.66635131835938,2119506,0,0
TataPower,2010-07-20,103.04013245657653,103.19427276336867,101.7299703137629,102.37734985351562,2423708,0,0
TataPower,2010-07-21,102.8628787,103.1942761432214,101.57583942679983,102.92839050292969,1628665,0,0
TataPower,2010-07-22,102.88599666234258,103.24822457129616,101.89952424613882,102.49295043945312,3382831,0,0
TataPower,2010-07-23,103.11720947666706,103.11720947666706,101.80705326217807,102.02284240722656,3707747,0,0
TataPower,2010-07-26,102.19238654455172,102.63938006247379,101.44482610861904,102.16541290283203,3411680,0,0
TataPower,2010-07-27,102.11917879355845,102.62397038845887,101.64906237448096,102.16156768798828,1576251,0,0
TataPower,2010-07-28,102.19238317437492,103.88402710769334,101.92264676607344,103.11334991455078,2766116,0,0
TataPower,2010-07-29,103.2559276,103.48713200719443,101.89182421717572,102.45056915283203,5635164,0,0
TataPower,2010-07-30,102.1153174325721,102.6316734588252,100.36972015329837,101.80319213867188,1775274,0,0
